Gene name,Disease1,Disease2,Disease3,Control1,Control2,Control3
A1BG,0.239126,0.576794,0.323312,0.215623,0.256459,0.256841
A1BG-AS1,0.14021,0.136207,0.228318,0.156199,0.251155,0.236026
A1CF,0.14445,0.075214,0.00216,0.039381,0.013674,0.165671
A2M,118.867822,152.619853,144.404813,136.551583,217.139002,82.412413
A2M-AS1,2.642095,2.835382,2.605264,2.811116,2.841754,1.324119
A2ML1,0.059077,0.078076,0.008492,0.005191,0.005465,0.062372
A2MP1,0,0.076461,0.015277,0.018802,0,0
A3GALT2,0,0,0,0,0,0
A4GALT,14.678239,22.250582,20.994782,20.379479,29.023179,10.005294
A4GNT,0,0,0,0,0,0
AA06,0,0,0,0,0,0
AAAS,10.521948,10.188883,8.984417,8.508876,11.574598,10.194745
AACS,4.513213,7.219421,4.716763,6.711108,5.044499,4.823318
AACSP1,0.083367,0,0,0,0,0.031805
AADAC,0,0,0,0.016773,0.034784,0
AADACL2,0,0,0,0,0.054113,0
AADACL3,0.020888,0,0,0.005562,0,0.004431
AADACL4,0,0.021166,0.037887,0,0,0
AADAT,0.585177,0.637186,0.403232,0.47289,0.872828,0.372819
AAED1,17.79223,13.757829,15.988365,17.05856,23.412342,15.681805
AAGAB,6.048881,6.159379,4.742516,5.060787,5.91833,4.800948
AAK1,6.654203,10.310847,7.211581,8.480595,7.468419,4.433813
AAMDC,50.800117,69.924689,85.822126,73.552168,65.753246,26.701453
AAMP,21.700594,22.772241,21.027317,21.885365,22.137367,16.602522
AANAT,0,0,0,0,0,0
AAR2,5.829639,5.382474,5.136998,5.760419,6.357751,3.914908
AARD,0.158385,0.159839,0.031491,0.208296,0.16464,0.620224
AARS,18.88791,21.910266,21.180314,22.42291,23.549274,12.751678
AARS2,3.094893,3.303371,3.565386,3.175458,3.406363,2.553685
AARSD1,7.262926,9.632619,12.3817,10.145119,9.407436,7.55905
AASDH,2.332109,2.333366,1.992782,2.183266,3.077861,1.312979
AASDHPPT,17.083472,18.301729,16.085505,19.150039,18.120825,11.636262
AASS,7.500415,7.740539,8.696809,16.189569,10.03544,9.9763
AATF,3.83727,5.450075,4.603821,3.837493,5.035712,3.613082
AATK,0.318626,0.6944,0.34683,1.087413,1.006602,0.70123
AATK-AS1,0,0,0,0,0,0
ABAT,4.73894,1.368867,2.051012,4.499911,5.642497,6.158672
ABCA1,2.563758,3.41092,2.761739,4.468113,4.142943,2.105144
ABCA10,1.065512,0.820848,0.550131,0.776552,1.241707,0.789337
ABCA11P,2.180712,1.943607,1.855604,1.924789,2.607395,0.581859
ABCA12,0,0,0,0,0.00523,0.042212
ABCA13,0.089264,0.06739,0.020853,0.017772,0.029554,0.073761
ABCA17P,0.035181,0.042076,0.033356,0.020573,0.0215,0
ABCA2,4.928734,5.890753,5.004894,5.874358,7.871547,4.762614
ABCA3,2.238963,2.756641,2.384239,2.979045,3.22049,1.958607
ABCA4,0.091535,0.03678,0.063375,0.04142,0.041061,0
ABCA5,3.013703,4.394959,3.973028,3.60117,4.521606,1.828463
ABCA6,5.979503,6.303006,4.943979,5.814744,7.049737,4.419695
ABCA7,0.225369,0.345429,0.28406,0.747836,0.790788,0.442498
ABCA8,16.48187,20.150211,14.640632,18.468669,23.461564,13.642011
ABCA9,8.217357,6.281033,5.147424,6.319254,5.799038,2.385215
ABCB1,0.358672,0.463801,0.676555,1.032404,0.434811,0.666882
ABCB10,5.888101,6.812462,5.438166,6.112253,7.224471,5.335107
ABCB11,0.034542,0,0,0.011897,0.004349,0.029691
ABCB4,1.681746,2.885551,2.462139,2.398379,2.435394,1.127701
ABCB5,0.227625,0.186525,0.080281,0.19155,0.207237,0.277904
ABCB6,4.74822,4.404703,4.592289,4.144778,5.34319,3.975149
ABCB7,11.437514,16.548961,15.394669,16.978403,13.932419,10.170252
ABCB8,3.208674,3.07481,2.957545,2.899951,3.112623,2.428998
ABCB9,1.153929,1.046184,0.953227,1.417966,1.044162,0.614837
ABCC1,5.54934,7.372288,5.531419,6.114958,5.25897,4.085183
ABCC10,1.33452,2.036348,1.446907,1.531531,1.250787,1.30956
ABCC11,0.108346,0.029392,0.014082,0.0433,0.049988,0.076519
ABCC12,0,0,0.011836,0.021779,0.015267,0.029457
ABCC13,0.14451,0.081562,0,0.057845,0,0.007849
ABCC2,0,0.009197,0.006264,0.027009,0.040314,0
ABCC3,0.337437,0.037996,0.037234,0.057825,0.068452,0.209689
ABCC4,2.019979,1.698964,0.73624,1.493949,1.222529,3.160521
ABCC5,4.729508,5.728326,4.228417,6.989032,9.961952,5.898565
ABCC5-AS1,0,0,0,0,0,0
ABCC6,0.618791,0.912689,0.416284,0.39903,0.348222,0.908267
ABCC6P1,0.093255,0,0.013256,0.019018,0,0.083686
ABCC6P2,0.171093,0.524194,0.501341,0.415872,0.742799,0.713309
ABCC8,0.03144,0.140671,0.157528,0.134778,0.343267,0.18468
ABCC9,30.036684,31.285201,26.067445,32.112433,43.012548,23.089529
ABCD1,4.229709,5.425952,4.447104,3.885277,4.614806,3.543098
ABCD2,3.698793,6.665362,5.403588,5.186006,3.626116,3.512534
ABCD3,28.256585,28.512812,23.359851,32.990757,30.617427,17.476437
ABCD4,4.690605,4.042253,3.665417,3.618701,4.184708,2.165658
ABCE1,11.455251,11.478497,10.588622,13.294762,11.448891,10.337152
ABCF1,11.165111,13.291453,12.12517,12.860089,12.547039,7.317446
ABCF2,10.944538,11.578867,9.666646,11.881285,13.222533,9.196772
ABCF3,13.610123,20.503841,18.558529,18.179429,19.655758,11.668422
ABCG1,4.105364,8.154558,5.772005,10.52458,7.398075,3.699873
ABCG2,1.331348,0.705226,1.261257,1.561494,1.542259,1.089064
ABCG4,0.268908,0.474566,0.148602,0.321267,0.135875,0.08412
ABCG5,0,0,0,0.048569,0,0
ABCG8,0.051685,0.061214,0,0,0,0
ABHD1,0.431637,0.563455,0.677411,0.366335,0.344812,0.637906
ABHD10,22.589561,25.098464,20.336814,25.413175,27.369993,14.682853
ABHD11,10.414791,13.913376,11.962477,11.638491,12.529504,8.723246
ABHD12,7.288989,8.160962,6.476822,8.853058,10.040317,5.878958
ABHD12B,0.390798,0.402138,0.098383,0.243247,0.248017,0.534436
ABHD13,3.525035,4.321424,2.962205,3.481721,3.36807,1.899679
ABHD14A,11.642061,11.093505,13.319967,11.249128,15.652091,7.482331
ABHD14A-ACY1,0.647239,0,0.055299,0,0,0
ABHD14B,3.154514,2.54136,2.695644,2.481151,3.620343,2.315049
ABHD15,2.296831,2.528053,1.820299,1.828701,2.543103,1.835146
ABHD16A,7.691166,8.831465,8.209222,8.456185,9.599871,5.816092
ABHD16B,0,0.128066,0,0,0,0
ABHD17A,33.666292,36.0994,27.268342,27.743712,33.829273,24.430992
ABHD17B,5.303581,4.992049,4.205419,5.101687,5.503097,4.181654
ABHD17C,3.320973,2.513507,2.293653,2.824825,3.039774,1.991835
ABHD2,14.07205,19.725274,11.472852,19.108208,17.220663,12.294449
ABHD3,1.264629,1.363393,1.090854,1.366982,1.229283,1.525958
ABHD4,5.524211,6.766104,4.988648,6.862439,6.216249,5.539424
ABHD5,6.087333,7.068071,5.978018,7.779324,7.240025,4.279505
ABHD6,2.932111,3.811444,2.225482,3.302696,1.61562,0.922418
ABHD8,4.114358,4.200693,2.830751,3.687069,3.267571,2.688517
ABI1,11.551966,10.642523,10.111154,12.42351,12.345291,8.034015
ABI2,12.951902,15.147378,13.315538,14.934012,17.475831,9.080107
ABI3,2.439922,2.546658,1.618629,1.955791,2.252339,0.605955
ABI3BP,2.167056,3.291075,3.289939,3.414008,6.111634,3.979723
ABL1,8.455403,8.107847,7.304261,8.294558,9.527268,5.928957
ABL2,2.144811,2.601136,2.22148,2.738158,3.213534,1.831288
ABLIM1,182.123355,217.046217,168.634334,210.228158,188.139621,127.205254
ABLIM2,2.70525,3.24505,3.5337,2.17762,3.835946,2.375201
ABLIM3,42.527778,44.887944,40.903791,33.997191,47.460269,22.654652
ABO,0.425647,0.732744,0.162718,0.352397,0.171462,0.244595
ABR,35.589409,35.163759,34.926328,34.476784,45.136131,26.308832
ABRA,2.597215,3.600927,4.275074,5.0162,6.394452,2.623482
ABRACL,2.845283,5.79375,3.909919,3.357921,3.171281,2.246597
ABT1,5.330096,5.555012,4.903711,7.35728,6.59064,4.107044
ABTB1,7.844859,7.558471,7.955545,7.583908,6.705941,4.591315
ABTB2,6.766826,5.585617,5.574776,5.842189,6.469551,4.430855
AC000099.1,0,0,0,0,0,0
AC000124.1,0,0,0,0,0,0
AC002116.7,0.075407,0,0,0.033044,0,0.153701
AC002398.5,0,0,0,0,0,0
AC002454.1,0,0,0.168083,0.0681,0.247775,0
AC002463.3,0,0,0,0,0.022493,0
AC002480.3,0.025763,0.56553,0.251244,0.102553,0.368713,0.176021
AC002511.1,0.054331,0.073219,0.028896,0.082959,0.055394,0
AC003051.1,0,0,0,0,0,0
AC003102.3,0.09718,0.171731,0.087537,0.108685,0.167952,0.135493
AC003665.1,0.355024,0.596151,0.312679,0.090885,0.361467,0.213781
AC003958.2,0.007008,0,0,0.027747,0,0
AC003984.1,0,0,0,0,0,0
AC004019.13,0.008387,0,0.009072,0.010904,0.079246,0.196435
AC004053.1,0.034617,0.026123,0.014991,0.009131,0.019015,0
AC004603.4,0.05248,0.093566,0.03212,0,0.010505,0
AC004862.6,0,0,0,0,0,0
AC004893.11,0.473161,0.621048,0.601306,0.463043,0.809863,0.371135
AC005022.1,0,0,0,0,0,0
AC005029.1,0.005394,0.01004,0,0,0.007495,0
AC005062.2,0,0,0,0,0,0.025409
AC005235.1,0,0,0,0,0,0
AC005264.2,0,0,0.01492,0,0.019385,0
AC005358.3,0,0,0,0,0,0
AC005550.4,1.539702,2.453834,1.647282,1.665846,1.391684,0.679665
AC005592.2,0,0,0.164689,0.081303,0.083854,0
AC005594.3,0,0.036124,0,0.026796,0.035427,0
AC006004.1,0.024094,0,0,0,0,0.017129
AC006145.4,0.106573,0.172693,0.033224,0,0.063859,0
AC006196.1,0,0,0,0,0.019538,0
AC006262.5,0.009929,0.125139,0.052842,0.05207,0.095139,0.320035
AC006272.1,0,0,0,0,0.035567,0
AC006372.4,0,0,0.007591,0.013868,0,0
AC007038.7,0.294249,0.605349,0.141299,0.13069,0.302023,0.331775
AC007040.7,0,0,0,0.080369,0.046573,0
AC007099.1,0.93339,0.941601,0.414713,0.706094,1.179045,0.800738
AC007131.1,0,0,0,0,0,0
AC007163.3,0,0,0,0,0,0
AC007163.6,0,0,0,0,0,0
AC007246.3,1.128586,1.784382,1.254645,1.707014,2.125992,1.15275
AC007359.6,0,0.02313,0,0,0,0
AC007365.1,0.042941,0,0,0,0,0
AC007386.2,0.209839,0.04989,0.098379,0.249107,0.193237,0.213677
AC007392.3,0.254883,0.127007,0.076212,0.216829,0.159701,0
AC007392.4,0,0,0,0,0,0
AC007403.2,0,0,0,0,0,0
AC007405.4,0,0,0,0,0,0
AC007461.2,0,0,0,0,0.009893,0
AC007463.2,0,0,0,0,0,0
AC007551.3,0.255493,0.079386,0.256288,0.214394,0.30895,0.155534
AC007682.1,0.021733,0,0,0.017269,0.005966,0.057829
AC007740.1,0,0,0,0,0,0
AC007743.1,12.301141,14.951143,6.614148,12.42837,13.084932,13.1762
AC007750.5,0.025096,0.10438,0,0.013508,0,0.037369
AC007773.2,0.254281,0.36752,0.392291,0.030249,0.315785,0.813813
AC007879.2,0.327723,0,0,0,0.161603,0
AC007880.1,0,0,0,0.022042,0,0
AC007966.1,0,0,0.030917,0.037199,0,0
AC008697.1,0,0,0.011615,0,0.014928,0
AC008703.1,0,0,0,0,0,0
AC009120.4,0,0,0,0,0,0
AC009227.2,0,0.047221,0,0,0.069461,0.036054
AC009264.1,0,0,0,0,0,0
AC009299.3,0.028014,0.143755,0.030924,0.012509,0.013039,0
AC009473.1,0,0.123428,0.18012,0.221377,0.092912,0.158727
AC009501.4,0,0,0,0,0.012111,0
AC009518.4,0,0,0,0,0,0
AC009948.5,2.57498,2.900184,2.155186,2.58076,3.047395,1.72334
AC010091.1,0,0,0,0,0.019744,0
AC010127.3,0.111019,0.137664,0.165499,0.232283,0.205569,0.183101
AC010226.4,5.628473,6.283324,5.80592,4.916918,6.353795,2.325338
AC010524.2,0.360961,0.557719,0.174949,0.202147,0.310893,0.479885
AC010731.4,0.014955,0.05598,0.131208,0.360269,0.209448,0
AC010890.1,0.318454,0.330934,0,0.061694,0,0
AC010975.1,0,0,0,0.040998,0,0
AC010987.6,0,0,0,0,0,0
AC011298.2,0.032338,0,0,0.018129,0,0.058785
AC011343.1,0,0,0,0,0.025014,0
AC011518.1,0.084955,0,0,0.029884,0.007799,0
AC011609.3,0,0,0,0,0,0
AC011718.2,0,0.033292,0,0,0,0
AC011738.4,0,0,0.073379,0.055774,0.028771,0
AC011747.4,5.564331,5.711765,3.410874,5.98577,6.162018,6.143484
AC011747.7,1.552685,0.389,0.401049,0.87479,1.033274,1.400851
AC011899.9,0.098413,0.041896,0.00358,0.12348,0.055627,0.043109
AC012075.2,0.17816,0,0,0,0,0
AC012309.5,3.61414,3.809275,1.31387,1.800905,3.567363,4.961194
AC012314.8,0.040683,0.045877,0.007853,0.004803,0.064623,0.075504
AC012494.1,0,0,0,0,0,0
AC012507.3,0,0,0,0,0,0
AC015922.6,0.104108,0.153406,0.029098,0.056081,0.310568,0.244769
AC016582.2,0,0,0.009848,0,0,0
AC016629.8,0.285575,0.576474,0.35162,0.548108,0.302718,0.250484
AC016738.3,0.203272,0.040656,0,0,0,0
AC016910.1,0.163891,0.209003,0.083872,0,0.029266,0
AC016995.3,0.04325,0.051543,0.153575,0,0.218845,0
AC017060.1,0,0,0,0.081619,0,0
AC018464.3,13.67452,19.546923,30.629543,39.044735,30.694061,35.405136
AC018470.4,0,0,0,0,0,0
AC018647.3,3.396232,2.227741,2.432754,3.892961,2.860647,2.165721
AC018705.5,0,0,0,0,0,0
AC018742.1,0,0.015851,0.047188,0.197021,0.035887,0.063176
AC018799.1,0,0,0,0,0,0
AC019048.1,0,0,0,0,0,0
AC019118.2,0,0.026168,0,0,0,0
AC020571.3,0,0,0.071057,0.017398,0.036368,0.223543
AC022007.5,0.69687,0.667504,0.571083,0.815099,0.789305,0.275885
AC022173.2,0.034716,0,0,0,0,0
AC022311.1,0.02715,0,0,0,0,0
AC024592.9,0.055272,0,0.087211,0.03601,0.018657,0
AC027269.2,0.062623,0,0.134424,0.222008,0.111257,0.173024
AC037193.1,0,0.036681,0,0,0.028046,0
AC058791.1,0.209813,0.240579,0.075935,0.227265,0.363303,0.18176
AC068831.10,0.330179,0.286575,0.045909,0.306151,0.215934,0.303763
AC068858.1,0,0,0,0.017665,0,0
AC069277.1,0,0,0,0,0,0
AC072062.1,0.472178,0.345073,0.240584,0.622456,0.639538,0.607129
AC073128.10,0,0,0,0,0,0
AC073133.1,0,0.011502,0,0,0.034727,0.066643
AC073283.4,0.400492,0,0.060338,0.128393,0.064536,0.126089
AC073321.3,0,0,0,0,0,0
AC073628.1,0,0,0,0,0,0
AC074138.3,0.827266,0.211118,0.534154,0.555027,0.559525,0.198518
AC074286.1,0.401156,0.396233,0.329146,0.353118,0.500678,0.264077
AC074289.1,0.567274,0.528206,0.101479,0.512808,0.144489,1.074255
AC078941.1,0.009703,0,0,0,0,0
AC079117.1,0,0,0,0,0,0
AC079145.4,0.19868,0,0,0.099619,0.083539,0
AC079586.1,0,0,0,0.027648,0,0
AC079610.2,1.17935,1.690796,0.822447,1.677465,1.779851,2.714124
AC079776.3,0.034894,0.16761,0,0.018624,0.029525,0.007478
AC087859.1,0.166288,0.057122,0.033748,0.090893,0.111399,0.175958
AC090044.1,0.083879,0.02018,0,0.035105,0.086783,0.04522
AC090505.6,0,0,0.01376,0,0,0.041104
AC091729.9,0.082324,0.748047,0.788161,0.964915,1.161639,0.274235
AC091878.1,0.130888,0.152159,0.035016,0.159614,0.169303,0.248372
AC091969.1,0.010508,0,0,0,0,0
AC092295.7,0.144025,0.924156,0.40261,0.297943,0.350044,0
AC093375.1,0,0.196853,0,0.047928,0.049607,0
AC093391.2,0.048683,0.947138,0.21157,0.410935,0.433775,0.748971
AC093590.1,0,0.026765,0,0,0,0
AC093690.1,0,0,0,0,0,0
AC095067.1,0.281804,0.590159,0.168158,0.510243,0.216994,0.5568
AC096559.1,0,0,0,0,0,0
AC097468.4,0,0,0,0.008638,0,0
AC097500.2,1.369348,0.517277,0.17067,0.26652,0.056007,0
AC097662.2,0.067569,0.090108,0.126166,0.106117,0.136206,0.211302
AC098823.3,0.119286,0.247896,0.098742,0.066498,0.086847,0.114546
AC099342.1,0,0,0,0.099364,0,0
AC104024.1,0,0,0.007381,0,0,0
AC104134.2,0.019954,0,0,0,0,0
AC104653.1,0.163337,0.115198,0.035106,0.171555,0,0.510544
AC104654.1,0,0,0,0,0,0
AC104654.2,0,0,0,0,0.033156,0
AC104655.2,0,0,0,0,0,0
AC104777.2,0,0.022112,0,0.008057,0,0
AC104777.4,0,0,0,0,0,0
AC104820.2,0,0,0,0.011588,0,0
AC105053.3,0.275637,0.169089,0.186753,0.335875,0.32591,0.111773
AC105253.1,0.623955,0.392164,0.411753,0.470368,0.733784,0.739071
AC105339.1,0,0,0,0,0,0.13477
AC105760.3,0,0,0,0.018347,0.086383,0
AC107070.1,0.026091,0,0,0,0.017897,0
AC107622.1,0,0.015951,0,0.011515,0,0.017976
AC108142.1,0.034838,0,0.015032,0.018403,0,0
AC109828.1,0,0,0,0,0,0
AC113607.2,0,0.254464,0,0,0,0
AC116035.1,0.038642,0.077928,0.139848,0.917567,0.420992,2.617925
AC125421.1,0,0,0,0,0,0
AC131097.3,0.118548,0,0,0,0,0
AC136896.1,0,0,0,0,0,0
AC137932.6,0,0.159789,0.013599,0.099606,0.052814,0
AC144449.1,0.370156,0,0,0.072893,0,0
AC145110.1,0.073426,0.266838,0.098941,0.078461,0.226214,0.251516
AC147651.4,0,0,0,0.07034,0.129322,0
AC159540.1,0,0,0,0,0.048285,1.136941
AC159540.1-2,0.394883,0.554072,0.19109,0.15613,0.415737,0.085147
AC226118.1,0,0,0.013143,0.024267,0,0.012665
ACAA1,33.043222,44.311801,39.816694,39.286427,32.75673,22.681273
ACAA2,88.848316,137.790572,105.875361,117.10188,110.314396,55.316449
ACACA,3.134643,3.082913,2.910874,3.448624,3.841887,3.369293
ACACB,13.442928,21.371019,16.051073,20.159935,24.721828,11.313189
ACAD10,6.243331,8.17388,7.007174,7.036207,7.311136,4.936141
ACAD11,5.923285,3.239531,4.519212,6.725118,7.286257,5.521245
ACAD8,16.992438,18.945896,16.581017,19.382085,18.368123,11.506371
ACAD9,16.037585,17.717986,13.692397,15.065615,13.644335,10.169851
ACADL,0.332265,0.306229,0.219942,0.631465,0.346611,0.261064
ACADM,113.939536,157.144276,112.930649,116.915,113.205669,86.879959
ACADS,30.590474,42.924253,38.107603,31.78968,38.06032,16.672427
ACADSB,21.140263,30.116943,21.142339,27.614093,23.879191,16.077573
ACADVL,266.7008,334.106849,317.580459,242.849051,303.250665,149.483756
ACAN,0.008454,0.011467,0.05633,0.080352,0.029196,0.005471
ACAP1,0.422078,0.681858,1.201994,0.575151,1.29752,0.522195
ACAP2,5.924593,5.517092,4.680597,5.315602,5.844914,3.140488
ACAP3,4.25438,5.421802,3.719209,4.617461,4.247937,4.057038
ACAT1,154.765383,203.806041,204.845094,207.072005,195.319557,120.284948
ACAT2,2.478193,3.188125,2.424979,3.573563,2.821266,2.125589
ACBD3,14.266679,13.773447,13.041529,15.753071,15.860645,8.590109
ACBD4,2.558463,2.091563,2.005976,1.853308,3.348668,2.517326
ACBD5,23.545776,35.639697,35.860675,33.516564,29.51733,16.829561
ACBD6,7.549393,6.721733,6.37075,7.983047,7.52523,3.843156
ACBD7,0.686089,0.497045,0.30151,0.432909,0.622303,0.532534
ACCS,0.974035,0.521082,0.669095,0.226228,0.633979,1.227133
ACCSL,0,0,0,0.07118,0,0
ACD,2.379645,2.276786,1.981904,1.771378,2.26146,2.033015
ACE,7.712454,9.457897,6.550649,6.350188,7.930051,3.818268
ACE2,2.65221,3.130958,4.409464,3.128273,4.383181,1.938393
ACER1,0,0,0.018259,0.022837,0,0
ACER2,2.247634,2.367536,1.884324,2.906995,2.489701,0.492069
ACER3,2.75912,4.123819,1.854881,3.183605,2.683767,1.866277
ACHE,0.37262,0.30671,0.225658,0.190671,0.736957,0.442551
ACIN1,13.208218,15.454354,13.501752,13.525744,16.074833,10.940041
ACKR2,0.142084,0.040042,0.188933,0,0.118574,0
ACKR3,9.0659,8.663113,8.798671,12.361282,10.285129,6.959385
ACKR4,2.577428,0.831081,1.641312,1.521944,1.518356,0.689653
ACLY,8.681065,7.726628,6.908265,10.2399,9.166979,5.001015
ACMSD,0,0,0,0,0,0.176496
ACN9,5.624365,6.034513,5.401024,6.576177,5.898297,4.961689
ACO1,21.348925,31.519963,25.690183,27.754812,27.547085,17.516897
ACO2,228.176175,334.200732,306.607321,290.308348,331.427752,198.593289
ACOT1,21.719182,5.637656,23.590054,24.145158,15.631116,12.811433
ACOT11,17.623734,15.76437,13.957112,15.72637,15.367717,9.390725
ACOT12,0,0,0,0.022221,0,0
ACOT13,7.816282,9.322684,7.786189,9.538995,8.605893,7.678321
ACOT2,59.710228,95.357632,82.818867,64.174197,76.290041,41.280352
ACOT4,0.676443,0.446904,0.927786,0.527245,0.869232,0.449093
ACOT6,0.075489,0,0,0,0,0
ACOT7,2.490016,3.704197,2.395795,2.258722,2.975612,2.99904
ACOT8,10.457118,13.35946,10.877706,12.376395,12.247641,6.833485
ACOT9,16.851863,17.46162,19.960276,20.891429,20.079009,14.088564
ACOX1,20.783634,28.729361,22.301758,24.39368,28.508837,13.687663
ACOX2,9.481281,11.910108,11.656235,8.054331,8.932382,6.645904
ACOX3,4.542535,6.046952,5.034452,5.859796,6.630401,4.441655
ACOXL,0,0,0,0.058697,0.035423,0.041348
ACP1,27.763521,30.088772,24.192369,32.197781,29.503941,20.999117
ACP2,8.049465,7.501701,6.40385,7.878769,7.931917,7.290682
ACP5,1.114448,1.049717,0.537189,1.421911,0.579752,1.81307
ACP6,3.935513,1.750008,2.81475,2.14877,3.037749,1.804515
ACPL2,2.763891,2.782811,2.796959,2.827681,5.287823,2.865181
ACPP,0.636743,0.594633,0.126619,0.290555,0.055192,1.174811
ACPT,0,0,0,0,0,0
ACR,0.210849,0.455083,0.073556,0.014965,0.190129,0.114335
ACRBP,0.231468,0.042118,0.141381,0.174847,0.195259,0.215566
ACRC,0.397846,0.21396,0.204238,0.309017,0.545657,0.233833
ACRV1,0,0,0.017802,0.024763,0,0
ACSBG1,0.054609,0,0.010444,0.01932,0.020263,0
ACSBG2,0.005913,0,0,0,0,0
ACSF2,2.252046,6.300728,5.421226,8.551987,6.242354,5.54139
ACSF3,2.770035,3.944092,2.591335,2.707289,5.299143,1.503192
ACSL1,65.193208,106.637142,126.076104,121.739783,110.914742,45.771468
ACSL3,16.080208,13.88531,16.094553,18.9867,21.269494,13.491658
ACSL4,17.886899,14.9016,14.870194,18.706819,18.061509,10.795137
ACSL5,5.114348,3.370893,2.609629,3.811676,3.088501,4.177776
ACSL6,0.563592,1.403749,0.892174,1.17438,0.94972,0.67245
ACSM1,0.115007,0.249092,0.09973,0.061518,0,0.40041
ACSM2A,0.015188,0,0,0.010015,0,0
ACSM2B,0,0,0.026539,0,0.017236,0
ACSM3,0.24538,0.207646,0.148219,0.391144,0.18915,0.398808
ACSM4,0,0,0.05662,0,0,0.158091
ACSM5,0.614639,0.462992,0.144366,0.346669,0.228964,0.398711
ACSS1,22.917231,33.894039,46.074518,43.015684,27.635228,22.173996
ACSS2,27.737571,41.015778,40.387882,41.940629,30.602558,23.40196
ACSS3,10.760093,14.657444,10.177892,14.506674,12.898424,6.585752
ACTA1,636.779404,378.817726,1320.356591,193.589997,1258.135931,699.460013
ACTA2,35.926683,28.582496,53.727166,41.316301,66.024469,20.862133
ACTA2-AS1,0,0,0,0,0.057256,0
ACTB,257.081986,205.943291,196.580077,228.125121,233.471761,179.865886
ACTBL2,0,0.079886,0,0.056736,0,0
ACTC1,2002.041554,3257.899148,2652.25226,2932.797905,2806.79327,1583.537662
ACTG1,127.587831,104.716598,98.484981,102.487596,125.880961,109.074314
ACTG1P4,0.024381,0.073068,0.095269,0.097207,0.100621,0.111268
ACTG2,3.202504,1.207256,1.711795,1.481018,5.474171,2.325455
ACTL10,0.303675,0.150991,0.107749,0.158161,0.146633,0.163648
ACTL6A,8.166052,8.221698,6.63388,6.691657,6.559462,9.166386
ACTL6B,0,0,0,0,0,0
ACTL7A,0,0,0.031382,0,0,0
ACTL7B,0,0,0,0,0,0
ACTL8,0.017933,0,0,0.035338,0,0
ACTL9,0,0,0,0,0,0
ACTN1,12.522485,15.81568,11.489058,11.253255,23.115416,14.320413
ACTN1-AS1,0,0,0,0,0,0
ACTN2,407.855003,582.810151,520.786309,634.800209,603.603484,352.40477
ACTN3,0,0.024566,0.014726,0,0.01937,0
ACTN4,23.759807,21.589806,19.503619,20.997832,22.254001,14.597277
ACTR10,22.233512,25.543321,21.580978,24.592928,25.144454,14.781363
ACTR1A,28.36738,30.177163,21.568315,28.88336,32.751572,20.85798
ACTR1B,27.950613,33.303082,28.788467,29.184746,32.928501,19.703211
ACTR2,45.882571,40.558691,38.843139,45.104893,41.922383,25.564232
ACTR3,18.146922,19.819827,16.724451,21.369545,20.223054,13.408386
ACTR3B,2.375529,3.399955,2.395992,3.146841,2.678651,3.129337
ACTR3BP2,0,0,0,0.036269,0,0
ACTR3BP5,0.098214,0,0,0,0,0
ACTR3C,0.667147,0.329983,0.340472,1.195417,0.935967,0.59345
ACTR5,0.957918,1.234694,1.060327,1.817025,1.579104,1.772928
ACTR6,7.930405,7.150471,8.001959,9.359778,8.213743,5.071618
ACTR8,10.443044,12.9577,11.224011,15.744095,14.092956,6.32723
ACTRT1,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
ACTRT3,0.230053,0.236742,0.253801,0.546811,0.404061,0.302377
ACVR1,8.224559,8.357687,6.536326,7.952432,10.289666,5.750699
ACVR1B,3.868943,4.071527,3.497251,4.193777,4.373802,2.827644
ACVR1C,0.16348,0.051061,0.111182,0.291006,0.069807,0
ACVR2A,8.448727,5.655044,6.853228,6.805811,7.617743,5.816125
ACVR2B,3.030417,2.421945,3.057971,2.783222,3.506387,1.821081
ACVR2B-AS1,0.262353,0.035482,0.153784,0.171649,0.400864,0
ACVRL1,6.953963,5.92358,4.61201,7.388316,5.985896,3.667922
ACY1,6.858586,11.378021,8.191223,7.560116,8.065759,6.377086
ACY3,0.02485,0,0,0,0,0
ACYP1,6.029654,5.339496,3.966329,3.100557,5.353969,5.411013
ACYP2,30.312841,30.937915,26.879831,26.486069,30.380868,21.727871
AD000090.2,0.5872,0.185407,0.66461,0.366676,0.514791,0.09768
ADA,2.610547,2.410597,1.862059,2.552248,2.171026,2.554128
ADAD1,0,0.033996,0,0,0,0.067349
ADAD2,0.017387,0.133811,0.017371,0,0.116004,0
ADAL,8.604493,7.505342,8.248147,9.620187,8.907799,4.280352
ADAM10,16.631489,15.267648,14.552425,17.602676,17.997965,11.532866
ADAM11,5.609577,8.048481,8.474184,10.407727,3.739438,3.754112
ADAM12,0.187534,0.073749,0.063134,0.104412,0.180074,0.246153
ADAM15,16.351127,11.46848,12.357701,17.663171,16.374895,11.191896
ADAM17,4.340995,5.383937,5.238242,4.759577,5.075442,2.841216
ADAM18,0,0,0,0,0,0
ADAM19,3.338876,1.99367,1.865603,2.489143,5.183204,2.564015
ADAM1A,0.272743,0.26486,0.573504,0.332123,0.45369,0.310679
ADAM2,0,0,0,0.010354,0,0.107927
