Gene name,Disease1,Disease2,Disease3,Control1,Control2,Control3
NEFL,0.026357,0.023557,0.01848,0.028445,0.012113,0
NEFM,0,0,0,0.006811,0,0
NEGR1,5.337499,5.131658,4.648869,6.646765,5.513345,3.9998
NEGR1-IT1,0,0,0,0.176481,0,0
NEIL1,0.35154,0.742026,0.595597,0.475058,0.55015,0.699465
NEIL2,7.61988,6.525473,4.551381,5.984658,5.79918,4.373977
NEIL3,0,0.014086,0.024959,0.040901,0.053158,0
NEK1,4.935368,4.834018,4.681431,4.836976,5.67163,3.648402
NEK10,2.597734,3.561792,2.001068,3.969124,1.73226,1.240109
NEK11,0.496339,1.244169,0.589721,0.901433,1.07277,0.710914
NEK2,0.837878,0.238622,0.217419,0.128412,0.288749,0.810882
NEK3,0.683112,2.045987,1.505275,2.066652,1.013272,0.513502
NEK4,4.946116,6.257085,4.624745,4.941452,5.96925,3.665576
NEK5,0.318063,0.407023,0.298295,0.245844,0.353854,0.447353
NEK6,2.895567,2.85453,2.347197,2.337406,2.900484,2.405489
NEK7,66.245702,63.993358,66.851538,91.333606,72.042366,60.990766
NEK8,0.302377,0.427824,0.21048,0.201735,0.308493,0.40342
NEK9,20.181705,23.015247,18.771968,23.868043,24.767698,14.287079
NELFA,3.48905,3.174561,3.638418,2.90733,3.890736,2.807186
NELFB,17.059252,22.0695,17.949275,18.233676,19.728158,13.692186
NELFCD,8.686324,10.842648,9.508312,10.721887,11.307817,9.954147
NELFE,13.532713,13.975562,11.78047,13.799701,13.153186,9.159713
NELL1,0.02139,0.009436,0,0,0,0
NELL2,0.123007,0.036203,0.116125,0.323728,0.07043,0.306614
NEMF,8.654932,9.215831,7.707329,9.498134,9.773922,5.910979
NENF,45.444778,48.161244,42.4493,48.917253,60.741137,41.811878
NEO1,3.466988,3.244738,3.159771,3.223907,4.272278,2.052096
NES,47.622272,32.58314,51.80612,31.105572,49.707352,28.786695
NET1,5.936237,5.245459,7.044116,6.766651,5.876132,5.428622
NETO1,0.022567,0,0.043917,0.004286,0.004444,0.241576
NETO2,2.025198,1.622946,0.772702,0.915072,1.81047,0.222355
NEU1,8.130731,10.825407,7.920845,10.512676,9.621974,9.206161
NEU2,0,0,0,0,0,0
NEU3,1.952865,1.379012,2.17483,2.675375,1.856022,1.218744
NEU4,0.088616,0.090892,0.062353,0.137583,0.059652,0.028213
NEURL1,0.059587,0.059593,0.02646,0.016522,0.052096,0.136137
NEURL1B,19.585947,16.467677,12.057536,16.136905,14.276545,4.983093
NEURL2,1.76312,2.611707,2.731522,2.887591,2.912612,1.679841
NEURL3,0,0.088472,0.033856,0,0.081855,0
NEURL4,4.658311,6.236347,4.821185,4.825489,5.493465,3.706188
NEUROD1,0,0,0,0.017244,0,0
NEUROD2,0.02313,0,0,0,0,0
NEUROD4,0,0,0,0.005858,0,0
NEUROD6,0,0.044551,0,0,0,0
NEUROG1,0.150455,0,0,0,0,0
NEUROG2,0.024384,0,0,0,0,0
NEUROG3,0,0,0,0,0,0
NEXN,56.107184,80.417804,70.671072,80.657122,93.410462,57.706463
NEXN-AS1,1.65177,0.62348,0.289523,0.437047,0.670424,0.884352
NF1,14.095138,14.66061,14.196321,17.418168,19.71711,10.57011
NF1P2,0.020474,0,0,0,0,0
NF2,11.809163,12.013261,10.996424,12.204027,12.371195,8.798797
NFAM1,0.451668,0.381822,0.240838,0.427613,0.233248,0.088975
NFASC,1.842089,2.615023,2.170099,2.236599,2.318882,1.344003
NFAT5,5.634767,5.901552,5.271176,6.174975,8.098553,3.944354
NFATC1,4.964886,4.47068,3.864801,4.21975,5.019021,3.748382
NFATC2,1.480448,1.042156,1.18718,1.386437,1.50864,1.126106
NFATC2IP,3.98104,4.454931,4.569288,4.192743,5.103693,3.610681
NFATC3,7.156788,6.895061,5.856913,6.253976,7.688173,4.304775
NFATC4,1.51385,1.668791,0.803086,0.986571,1.918935,1.186639
NFE2,0.09844,0.21683,0.0622,0.179457,0.038453,0.212803
NFE2L1,175.127448,198.477389,194.885636,189.361832,208.378645,120.961038
NFE2L2,21.067837,18.416496,19.137858,23.513154,28.165546,18.039818
NFE2L3,0.700221,0.35757,0.374173,0.980433,0.600661,1.002418
NFE4,0.105173,0,0.018379,0,0,0.055598
NFIA,32.770914,31.831196,26.598274,33.822564,39.768833,21.919303
NFIB,37.510881,38.451217,40.545872,36.736216,47.172181,22.504037
NFIC,40.377778,54.758919,41.799586,44.917991,57.635858,27.292635
NFIL3,6.864421,10.82039,7.615647,8.863288,11.157419,6.628858
NFIX,33.561159,36.00145,31.572658,28.043625,40.760434,27.089142
NFKB1,7.4407,5.679012,5.856672,6.20912,7.398196,4.900779
NFKB2,3.218307,3.151159,3.193873,2.948362,3.896952,2.415238
NFKBIA,15.470743,22.858573,23.755674,27.822652,22.482937,10.896568
NFKBIB,8.300878,6.579886,5.806051,6.782039,6.870747,4.867411
NFKBID,0.250005,0.228035,0.178797,0.208643,0.154253,0.606548
NFKBIE,1.31296,0.699222,0.699977,0.986086,0.864397,1.264976
NFKBIL1,3.942926,4.48091,4.675859,5.213345,4.084175,2.591294
NFKBIZ,1.503532,1.331707,1.075749,1.319107,1.870423,1.391758
NFRKB,2.428313,2.821556,3.216926,3.093033,3.775939,1.67341
NFS1,12.140239,13.610379,13.727693,13.889962,13.429471,11.070639
NFU1,42.857777,60.570523,55.033405,62.131128,56.920458,37.045168
NFX1,11.365998,12.793918,10.785449,12.873375,11.975514,7.085917
NFXL1,2.057813,1.705245,1.867485,2.126656,2.270585,1.106085
NFYA,2.570364,2.723784,2.184543,2.300779,2.526319,1.722507
NFYB,11.306342,12.740177,10.32711,11.974893,9.981222,7.588637
NFYC,17.785969,20.487976,17.09373,21.496469,21.564656,14.19217
NFYC-AS1,0.236989,0.369598,0.376625,0.291672,0.551614,0.602295
NGB,0,0,0,0.036595,0,0
NGDN,7.08967,9.26609,7.148305,5.459686,6.632815,5.223033
NGEF,0.02129,0.127783,0.043558,0.033957,0.043689,0.225053
NGF,1.666662,1.12283,1.498677,1.240117,2.130901,1.540094
NGFR,2.136633,0.542608,0.859388,1.010421,2.101917,1.051556
